,Course,Education Level,Institutions,Year,GM (%)
1,ACCA QUALIFICATION,Ijazah pertama,CRESCENDO INTERNATIONAL COLLEGE,2023,100
2,ACCA QUALIFICATION,Ijazah pertama,KOLEJ METHODIST KUALA LUMPUR,2023,100
3,ASSOCIATION OF CHARTERED CERTIFIED ACCOUNTANTS,Ijazah pertama,KOLEJ ANTARABANGSA IMPERIUM,2023,100
4,B. ENG (HONS) CIVIL ENGINEERING,Ijazah pertama,UCSI UNIVERSITY,2022,100
5,B. ENG (HONS) COMMUNICATION AND ELECTRONIC ENGINEERING,Ijazah pertama,UCSI UNIVERSITY,2022,100
6,"B. ENG. (HONS) ELECTRONICS AND ELECTRICAL ENGINEERING 3+0 IN COLLABORATION WITH UNIVERSITY OF SUNDERLAND, UK",Ijazah pertama,KOLEJ SEGi-SUBANG JAYA,2022,100
7,"B. ENG. (HONS) ELECTRONICS AND ELECTRICAL ENGINEERING 3+0 IN COLLABORATION WITH UNIVERSITY OF SUNDERLAND, UK",Ijazah pertama,KOLEJ SEGi-SUBANG JAYA,2023,100
8,B. SC. (HONS) BUSINESS INFORMATION SYSTEMS,Ijazah pertama,UCSI UNIVERSITY,2022,100
9,B.ENG (HONS) ELECTRICAL AND ELECTRONICS ENGINEERING,Ijazah pertama,UCSI UNIVERSITY,2022,100
10,"BA (HONS) ACCOUNTING AND FINANCE 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-KUALA LUMPUR,2022,100
11,BA (HONS) ADVERTISING AND BRAND MANAGEMENT,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
12,"BA (HONS) ADVERTISING AND DIGITAL MARKETING COMMUNICATIONS 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-SUBANG JAYA,2023,100
13,"BA (HONS) BUSINESS 3+0 IN COLLABORATION WITH UNIVERSITY OF PLYMOUTH, UK",Ijazah pertama,PENINSULA COLLEGE GEORGETOWN,2023,100
14,"BA (HONS) BUSINESS MANAGEMENT 3+0 IN COLLABORATION WITH LIVERPOOL JOHN MOORES UNIVERSITY, UK",Ijazah pertama,KOLEJ ANTARABANGSA YPC,2022,100
15,BA (HONS) DIGITAL FILM PRODUCTION,Ijazah pertama,SUNWAY UNIVERSITY,2023,100
16,"BA (HONS) DIGITAL MEDIA DESIGN 3+0 IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UNITED KINGDOM",Ijazah pertama,THE ONE ACADEMY OF COMMUNICATION DESIGN,2022,100
17,"BA (HONS) EARLY YEARS EDUCATION 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-KUALA LUMPUR,2023,100
18,"BA (HONS) GRAPHIC DESIGN 3+0 IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UNITED KINGDOM",Ijazah pertama,THE ONE ACADEMY OF COMMUNICATION DESIGN,2022,100
19,"BA (HONS) GRAPHIC DESIGN 3+0 IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UNITED KINGDOM",Ijazah pertama,THE ONE ACADEMY OF COMMUNICATION DESIGN,2023,100
20,BA (HONS) IN ACCOUNTING AND FINANCE,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
21,BA (HONS) IN ANIMATION,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
22,BA (HONS) IN ANIMATION,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2023,100
23,BA (HONS) IN BUSINESS MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
24,BA (HONS) IN BUSINESS MANAGEMENT,Ijazah pertama,KOLEJ BINARY,2022,100
25,BA (HONS) IN DIGITAL ADVERTISING,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
26,BA (HONS) IN HUMAN RESOURCE MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
27,BA (HONS) IN HUMAN RESOURCE MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
28,BA (HONS) IN INTERNATIONAL BUSINESS MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
29,BA (HONS) IN INTERNATIONAL BUSINESS MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
30,BA (HONS) IN MARKETING MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
31,BA (HONS) IN MARKETING MANAGEMENT,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
32,BA (HONS) IN MEDIA MARKETING,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2022,100
33,"BA (HONS) INTERIOR ARCHITECTURE AND DESIGN IN COLLABORATION WITH UNIVERSITY OF HERTFORDSHIRE, UNITED KINGDOM",Ijazah pertama,THE ONE ACADEMY OF COMMUNICATION DESIGN,2022,100
34,BA (HONS) INTERNATIONAL RELATIONS,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
35,BA (HONS) INTERNATIONAL RELATIONS,Ijazah pertama,ASIA PACIFIC UNIVERSITY OF TECHNOLOGY & INNOVATION,2023,100
36,BA (HONS) MALAY LANGUAGE STUDIES,Ijazah pertama,KOLEJ UNIVERSITI SELATAN,2023,100
37,"BA (HONS) MARKETING MANAGEMENT 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-KUALA LUMPUR,2023,100
38,"BA (HONS) MEDIA AND COMMUNICATIONS 3+0 IN COLLABORATION WITH UNIVERSITY OF GREENWICH, UK",Ijazah pertama,KOLEJ SEGi-SUBANG JAYA,2023,100
39,BA (HONS) OF CREATIVE IMAGING IN DIGITAL PHOTOGRAPHY,Ijazah pertama,LIMKOKWING UNIVERSITY OF CREATIVE TECHNOLOGY,2022,100
40,BA (HONS) PRODUCT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
41,BA (HONS) PRODUCT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2023,100
42,BA (HONS) TRANSPORT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
43,BA (HONS) VFX : VISUAL EFFECTS AND CONCEPT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2022,100
44,BA (HONS) VFX : VISUAL EFFECTS AND CONCEPT DESIGN,Ijazah pertama,ASIA PACIFIC INSTITUTE OF INFORMATION TECHNOLOGY,2023,100
45,"BA (HONS)BUSINESS AND MANAGEMENT STUDIES 3+0 IN COLLABORATION WITH UNIVERSITY OF GLOUCESTERSHIRE, UK",Ijazah pertama,KOLEJ PENINSULA SHAH ALAM,2022,100
